DisplayName,AttachmentType,GunType,AmmoType,MagazineType,MaxAmmo,MinDamage,MaxDamage,HitChance,CriticalChance,CritDmgMultiplier,ProjectileCount,PiercingBullets,MaxHitCount,JamGunChance,AimingTime,ReloadTime,SoundRadius,MinRange,MaxRange,Weight,AimingPerkHitChanceModifier,AimingPerkCritModifier,ConditionMax,ConditionLowerChanceOneIn,PushBackMod,KnockdownMod,BaseID,AttachmentsList,FromMod
Umarex Steel Storm BB-Gun,Holster,Handgun,BB177,,250,0.01,0.01,54,0,0,3,,3,0.08,16,100,6,0.61,7.5,2.1,15,0,50,60,0,0,UmarexSS,Sling_1;Sling_2;ForeGrip;Grip_Magpul;Grip_MLOK;Grip_TG;Grip_BCM;Grip_Fold;Light_Small;Light_Large;Light_Medium_M952V;Laser_Green;Laser_Red;Laser_DVAL;Laser_PEQ15;Light_Small_Socom;Laser_Green_ON;Laser_Red_ON;Laser_DVAL_ON;Laser_PEQ15_ON;Light_Small_Socom_ON;Light_Small_TLR_7AH;Light_Medium_M900;Suppressor_Socom_Pistol;Suppressor_NorthStar_Pistol;Suppressor_MK3_Pistol;Suppressor_Bottle;GhostRing;Sight_Fiber_Shotgun;Sight_MicroDot;Sight_RaceDot;Sight_SRS;Sight_MRO;Sight_SRO;Sight_EOTech;Sight_XPS;Sight_Aimpoint;Sight_Aimpoint_Dot;Sight_ACRO;Sight_Mepro_M21;Sight_Mepro_MOR;Sight_UH1;Sight_Nikon;Sight_1P87;Sight_1P63;Sight_KOBRA;Sight_OKP7_Reflex;Sight_Phantom_XL;Sight_PKAS;Sight_LUX;Sight_3xEOTech;Sight_Raven;Sight_C79;Sight_NO32;Sight_PU;Sight_4xACOG;Sight_4xACOG_ECO;Sight_SUSAT;Sight_L2;Sight_Brownells;Scope_4xPSO;Sight_M8;Scope_1;Scope_Trijicon_1;Scope_TANGO6T_1;Sight_6xELCAN;Sight_6xHensoldt;Sight_Malcom;Scope_12xPSO;Sight_VX3;Scope_20x;Sight_G28_Scope;Scope_ATACR7_F1;Scope_ATACR7_F1r;Sight_Thermal;Sight_Thermal_AK;Sight_PVS4;Sight_Armasight_NV;Sight_Burris_NV;CO2_Cartridge_Used;Light_Medium_SureFire_M952V;Laser_Light_Small_LAM;Sight_ATACR7_F1_Scope,ARSENAL-26-GunFighter: 177_BBGuns.txt
RWS M34 Break Barrel BB Gun,Rifle,Rifle,BB177,,1,0.03,0.04,50,0,0,1,,1,0.04,23,50,6,0.61,11,3.4,18,0,50,60,0,0,RWS_M34,Bipod;Bipod_OPEN;Sling_1;Sling_2;Sling_3;ForeGrip;Grip_Magpul;Grip_MLOK;Grip_TG;Grip_BCM;Grip_Fold;Light_Small;Light_Large;Light_Medium_M952V;Laser_Green;Laser_Red;Laser_DVAL;Laser_PEQ15;Laser_Green_ON;Laser_Red_ON;Laser_DVAL_ON;Laser_PEQ15_ON;Light_Small_TLR_7AH;Light_Medium_M900;Suppressor_Socom_Pistol;Suppressor_NorthStar_Pistol;Suppressor_MK3_Pistol;Suppressor_Bottle;GhostRing;Sight_Fiber_Shotgun;Sight_MicroDot;Sight_RaceDot;Sight_SRS;Sight_MRO;Sight_SRO;Sight_EOTech;Sight_XPS;Sight_Aimpoint;Sight_Aimpoint_Dot;Sight_ACRO;Sight_Mepro_M21;Sight_Mepro_MOR;Sight_UH1;Sight_Nikon;Sight_1P87;Sight_1P63;Sight_KOBRA;Sight_OKP7_Reflex;Sight_Phantom_XL;Sight_PKAS;Sight_LUX;Sight_3xEOTech;Sight_Raven;Sight_C79;Sight_NO32;Sight_PU;Sight_4xACOG;Sight_4xACOG_ECO;Sight_SUSAT;Sight_L2;Sight_Brownells;Scope_4xPSO;Sight_M8;Scope_1;Scope_Trijicon_1;Scope_TANGO6T_1;Sight_6xELCAN;Sight_6xHensoldt;Sight_Malcom;Scope_12xPSO;Sight_VX3;Scope_20x;Sight_G28_Scope;Scope_ATACR7_F1;Scope_ATACR7_F1r;Sight_Thermal;Sight_Thermal_AK;Sight_PVS4;Sight_Armasight_NV;Sight_Burris_NV;Light_Medium_SureFire_M952V;Sight_ATACR7_F1_Scope,ARSENAL-26-GunFighter: 177_BBGuns.txt
Benjamin M397 Pump BB Gun,Rifle,Rifle,BB177,,1,0.02,0.03,48,0,0,1,,1,0.04,23,50,6,0.61,10,2.8,18,0,50,60,0,0,Benjamin_M397,Bipod;Bipod_OPEN;Sling_1;Sling_2;Sling_3;ForeGrip;Grip_Magpul;Grip_MLOK;Grip_TG;Grip_BCM;Grip_Fold;Light_Small;Light_Large;Light_Medium_M952V;Laser_Green;Laser_Red;Laser_DVAL;Laser_PEQ15;Laser_Green_ON;Laser_Red_ON;Laser_DVAL_ON;Laser_PEQ15_ON;Light_Small_TLR_7AH;Light_Medium_M900;Suppressor_Socom_Pistol;Suppressor_NorthStar_Pistol;Suppressor_MK3_Pistol;Suppressor_Bottle;GhostRing;Sight_Fiber_Shotgun;Sight_MicroDot;Sight_RaceDot;Sight_SRS;Sight_MRO;Sight_SRO;Sight_EOTech;Sight_XPS;Sight_Aimpoint;Sight_Aimpoint_Dot;Sight_ACRO;Sight_Mepro_M21;Sight_Mepro_MOR;Sight_UH1;Sight_Nikon;Sight_1P87;Sight_1P63;Sight_KOBRA;Sight_OKP7_Reflex;Sight_Phantom_XL;Sight_PKAS;Sight_LUX;Sight_3xEOTech;Sight_Raven;Sight_C79;Sight_NO32;Sight_PU;Sight_4xACOG;Sight_4xACOG_ECO;Sight_SUSAT;Sight_L2;Sight_Brownells;Scope_4xPSO;Sight_M8;Scope_1;Scope_Trijicon_1;Scope_TANGO6T_1;Sight_6xELCAN;Sight_6xHensoldt;Sight_Malcom;Scope_12xPSO;Sight_VX3;Scope_20x;Sight_G28_Scope;Scope_ATACR7_F1;Scope_ATACR7_F1r;Sight_Thermal;Sight_Thermal_AK;Sight_PVS4;Sight_Armasight_NV;Sight_Burris_NV;Light_Medium_SureFire_M952V;Sight_ATACR7_F1_Scope,ARSENAL-26-GunFighter: 177_BBGuns.txt
VM-68 (Paintball Gun),Rifle,Rifle,PB68,Standard_PB_Hopper,50,0,0.002,42,0,0,1,FALSE,1,2,25,50,9,0.61,7,2.2,5,,40,40,0,0,VM_68,Light_Medium_M952V;Laser_Green_ON;Laser_Red_ON;Laser_DVAL_ON;Laser_PEQ15_ON;Light_Small_TLR_7AH;LinearComp_Noveske;Sight_OKP7_Reflex;Scope_TANGO6T_1;Scope_ATACR7_F1;Scope_ATACR7_F1r;Sight_Armasight_NV;Sight_Burris_NV;Standard_PB_Can,ARSENAL(26)GunFighter[MOD 2.0]: 177_BBGuns.txt
Auto_Cocker (Paintball Gun),Rifle,Rifle,PB68,Standard_PB_Hopper,50,0,0.002,44,0,0,1,FALSE,1,2,25,50,9,0.61,7,2.4,5,,40,40,0,0,Auto_Cocker,Light_Medium_M952V;Laser_Green_ON;Laser_Red_ON;Laser_DVAL_ON;Laser_PEQ15_ON;Light_Small_TLR_7AH;Sight_OKP7_Reflex;Scope_TANGO6T_1;Scope_ATACR7_F1;Scope_ATACR7_F1r;Sight_Armasight_NV;Sight_Burris_NV;Standard_PB_Can,ARSENAL(26)GunFighter[MOD 2.0]: 177_BBGuns.txt
Tippmann_SL68 (Paintball Gun),Rifle,Rifle,PB68,Standard_PB_Hopper,50,0,0.002,40,0,0,1,FALSE,1,2,25,50,9,0.61,8,2.4,5,,40,40,0,0,Tippmann_SL68,Light_Medium_M952V;Laser_Green_ON;Laser_Red_ON;Laser_DVAL_ON;Laser_PEQ15_ON;Light_Small_TLR_7AH;Light_Medium_M900;Sight_OKP7_Reflex;Scope_TANGO6T_1;Scope_ATACR7_F1;Scope_ATACR7_F1r;Sight_Armasight_NV;Sight_Burris_NV;Standard_PB_Can,ARSENAL(26)GunFighter[MOD 2.0]: 177_BBGuns.txt
Sheridan PGP (Paintball Gun),Holster,Handgun,PB68,,10,0,0.002,35,0,0,1,FALSE,1,2,25,50,9,0.61,6,2.4,5,,40,40,0,0,Sheridan_PGP,CO2_Cartridge_Used,ARSENAL(26)GunFighter[MOD 2.0]: 177_BBGuns.txt
Taurus Judge (45LC),Holster,Handgun,Bullets45LC,,5,1.6,2.1,12,24,4,1,,1,0.05,11,30,62,0.61,15,1.7,10,10,70,56,0.3,3,Judge_45LC,Light_Small;Light_Large;Light_Medium_M952V;Laser_Green;Laser_Red;Laser_DVAL;Laser_PEQ15;Laser_Green_ON;Laser_Red_ON;Laser_DVAL_ON;Laser_PEQ15_ON;Light_Small_TLR_7AH;Suppressor_Pistol;Suppressor_Socom_Pistol;Suppressor_NorthStar_Pistol;Suppressor_MK3_Pistol;Suppressor_Oil;Suppressor_Bottle;Compensator;MuzzleBrake;MuzzleBrake_DK1;MuzzleBrake_DK2;LinearComp_Noveske;GhostRing;Sight_Fiber_Shotgun;Sight_MicroDot;Sight_RaceDot;Sight_SRS;Sight_MRO;Sight_SRO;Sight_EOTech;Sight_XPS;Sight_Aimpoint;Sight_Aimpoint_Dot;Sight_ACRO;Sight_Mepro_M21;Sight_Mepro_MOR;Sight_UH1;Sight_Nikon;Sight_1P87;Sight_1P63;Sight_KOBRA;Sight_OKP7_Reflex;Sight_Phantom_XL;Sight_PKAS;Sight_3xEOTech;Sight_Raven;Sight_C79;Sight_NO32;Sight_PU;Sight_4xACOG;Sight_4xACOG_ECO;Sight_SUSAT;Sight_L2;Sight_Brownells;Light_Medium_SureFire_M952V;Suppressor_SOCOM_Pistol,ARSENAL-26-GunFighter: 45LC_410.txt
Taurus Judge (410g),Holster,Shotgun,410gShotgunShells,,5,1.2,1.6,67,40,2,3,,2,0.05,19,30,64,0.61,7,1.7,8,2,70,56,0.8,8,Judge_410g,Light_Small;Light_Large;Light_Medium_M952V;Laser_Green;Laser_Red;Laser_DVAL;Laser_PEQ15;Laser_Green_ON;Laser_Red_ON;Laser_DVAL_ON;Laser_PEQ15_ON;Light_Small_TLR_7AH;Suppressor_Pistol;Suppressor_Socom_Pistol;Suppressor_NorthStar_Pistol;Suppressor_MK3_Pistol;Suppressor_Oil;Suppressor_Bottle;Compensator;MuzzleBrake;MuzzleBrake_DK1;MuzzleBrake_DK2;LinearComp_Noveske;GhostRing;Sight_Fiber_Shotgun;Sight_MicroDot;Sight_RaceDot;Sight_SRS;Sight_MRO;Sight_SRO;Sight_EOTech;Sight_XPS;Sight_Aimpoint;Sight_Aimpoint_Dot;Sight_ACRO;Sight_Mepro_M21;Sight_Mepro_MOR;Sight_UH1;Sight_Nikon;Sight_1P87;Sight_1P63;Sight_KOBRA;Sight_OKP7_Reflex;Sight_Phantom_XL;Sight_PKAS;Sight_3xEOTech;Sight_Raven;Sight_C79;Sight_NO32;Sight_PU;Sight_4xACOG;Sight_4xACOG_ECO;Sight_SUSAT;Sight_L2;Sight_Brownells;Light_Medium_SureFire_M952V;Suppressor_SOCOM_Pistol,ARSENAL-26-GunFighter: 45LC_410.txt
Taurus 513 Judge (45LC),Holster,Handgun,Bullets45LC,,6,1.6,2.1,12,24,4,1,,1,0.05,11,30,62,0.61,15,2.2,10,10,70,56,0.3,3,Judge513_45LC,Light_Small;Light_Large;Light_Medium_M952V;Laser_Green;Laser_Red;Laser_DVAL;Laser_PEQ15;Laser_Green_ON;Laser_Red_ON;Laser_DVAL_ON;Laser_PEQ15_ON;Light_Small_TLR_7AH;Suppressor_Pistol;Suppressor_Socom_Pistol;Suppressor_NorthStar_Pistol;Suppressor_MK3_Pistol;Suppressor_Oil;Suppressor_Bottle;Compensator;MuzzleBrake;MuzzleBrake_DK1;MuzzleBrake_DK2;LinearComp_Noveske;GhostRing;Sight_Fiber_Shotgun;Sight_MicroDot;Sight_RaceDot;Sight_SRS;Sight_MRO;Sight_SRO;Sight_EOTech;Sight_XPS;Sight_Aimpoint;Sight_Aimpoint_Dot;Sight_ACRO;Sight_Mepro_M21;Sight_Mepro_MOR;Sight_UH1;Sight_Nikon;Sight_1P87;Sight_1P63;Sight_KOBRA;Sight_OKP7_Reflex;Sight_Phantom_XL;Sight_PKAS;Sight_3xEOTech;Sight_Raven;Sight_C79;Sight_NO32;Sight_PU;Sight_4xACOG;Sight_4xACOG_ECO;Sight_SUSAT;Sight_L2;Sight_Brownells;Light_Medium_SureFire_M952V;Suppressor_SOCOM_Pistol,ARSENAL-26-GunFighter: 45LC_410.txt
Taurus 513 Judge (410g),Holster,Shotgun,410gShotgunShells,,6,1.2,1.6,67,40,2,3,,2,0.05,19,30,64,0.61,7,2.2,8,2,70,56,0.8,8,Judge513_410g,Light_Small;Light_Large;Light_Medium_M952V;Laser_Green;Laser_Red;Laser_DVAL;Laser_PEQ15;Laser_Green_ON;Laser_Red_ON;Laser_DVAL_ON;Laser_PEQ15_ON;Light_Small_TLR_7AH;Suppressor_Pistol;Suppressor_Socom_Pistol;Suppressor_NorthStar_Pistol;Suppressor_MK3_Pistol;Suppressor_Oil;Suppressor_Bottle;Compensator;MuzzleBrake;MuzzleBrake_DK1;MuzzleBrake_DK2;LinearComp_Noveske;GhostRing;Sight_Fiber_Shotgun;Sight_MicroDot;Sight_RaceDot;Sight_SRS;Sight_MRO;Sight_SRO;Sight_EOTech;Sight_XPS;Sight_Aimpoint;Sight_Aimpoint_Dot;Sight_ACRO;Sight_Mepro_M21;Sight_Mepro_MOR;Sight_UH1;Sight_Nikon;Sight_1P87;Sight_1P63;Sight_KOBRA;Sight_OKP7_Reflex;Sight_Phantom_XL;Sight_PKAS;Sight_3xEOTech;Sight_Raven;Sight_C79;Sight_NO32;Sight_PU;Sight_4xACOG;Sight_4xACOG_ECO;Sight_SUSAT;Sight_L2;Sight_Brownells;Light_Medium_SureFire_M952V;Suppressor_SOCOM_Pistol,ARSENAL-26-GunFighter: 45LC_410.txt
Taurus 513 Judge (45LC),Holster,Handgun,Bullets45LC,,6,1.6,2.1,14,24,4,1,,1,0.05,11,30,62,0.61,16,2.5,11,10,70,56,0.3,3,Judge513_Long_45LC,Light_Small;Light_Large;Light_Medium_M952V;Laser_Green;Laser_Red;Laser_DVAL;Laser_PEQ15;Laser_Green_ON;Laser_Red_ON;Laser_DVAL_ON;Laser_PEQ15_ON;Light_Small_TLR_7AH;Suppressor_Pistol;Suppressor_Socom_Pistol;Suppressor_NorthStar_Pistol;Suppressor_MK3_Pistol;Suppressor_Oil;Suppressor_Bottle;Compensator;MuzzleBrake;MuzzleBrake_DK1;MuzzleBrake_DK2;LinearComp_Noveske;GhostRing;Sight_Fiber_Shotgun;Sight_MicroDot;Sight_RaceDot;Sight_SRS;Sight_MRO;Sight_SRO;Sight_EOTech;Sight_XPS;Sight_Aimpoint;Sight_Aimpoint_Dot;Sight_ACRO;Sight_Mepro_M21;Sight_Mepro_MOR;Sight_UH1;Sight_Nikon;Sight_1P87;Sight_1P63;Sight_KOBRA;Sight_OKP7_Reflex;Sight_Phantom_XL;Sight_PKAS;Sight_3xEOTech;Sight_Raven;Sight_C79;Sight_NO32;Sight_PU;Sight_4xACOG;Sight_4xACOG_ECO;Sight_SUSAT;Sight_L2;Sight_Brownells;Light_Medium_SureFire_M952V;Suppressor_SOCOM_Pistol,ARSENAL-26-GunFighter: 45LC_410.txt
Taurus 513 Judge (410g),Holster,Shotgun,410gShotgunShells,,6,1.2,1.6,66,40,2,3,,2,0.05,19,30,64,0.61,8,2.5,8,2,70,56,0.8,8,Judge513_Long_410g,Light_Small;Light_Large;Light_Medium_M952V;Laser_Green;Laser_Red;Laser_DVAL;Laser_PEQ15;Laser_Green_ON;Laser_Red_ON;Laser_DVAL_ON;Laser_PEQ15_ON;Light_Small_TLR_7AH;Suppressor_Pistol;Suppressor_Socom_Pistol;Suppressor_NorthStar_Pistol;Suppressor_MK3_Pistol;Suppressor_Oil;Suppressor_Bottle;Compensator;MuzzleBrake;MuzzleBrake_DK1;MuzzleBrake_DK2;LinearComp_Noveske;GhostRing;Sight_Fiber_Shotgun;Sight_MicroDot;Sight_RaceDot;Sight_SRS;Sight_MRO;Sight_SRO;Sight_EOTech;Sight_XPS;Sight_Aimpoint;Sight_Aimpoint_Dot;Sight_ACRO;Sight_Mepro_M21;Sight_Mepro_MOR;Sight_UH1;Sight_Nikon;Sight_1P87;Sight_1P63;Sight_KOBRA;Sight_OKP7_Reflex;Sight_Phantom_XL;Sight_PKAS;Sight_3xEOTech;Sight_Raven;Sight_C79;Sight_NO32;Sight_PU;Sight_4xACOG;Sight_4xACOG_ECO;Sight_SUSAT;Sight_L2;Sight_Brownells;Light_Medium_SureFire_M952V;Suppressor_SOCOM_Pistol,ARSENAL-26-GunFighter: 45LC_410.txt
Landor Arms TXS-804 (45LC),Rifle,Rifle,Bullets45LC,,5,1.6,2.1,27,24,4,1,,1,0.05,18,30,62,0.61,18,3.2,13,10,70,56,0.3,3,TXS_804_45LC,Ammobelt;Sling_1;Sling_2;Sling_3;ForeGrip;Grip_Magpul;Grip_MLOK;Grip_TG;Grip_BCM;Grip_Fold;Light_Small;Light_Large;Light_Medium_M952V;Laser_Green;Laser_Red;Laser_DVAL;Laser_PEQ15;Laser_Green_ON;Laser_Red_ON;Laser_DVAL_ON;Laser_PEQ15_ON;Light_Small_TLR_7AH;Light_Medium_M900;Suppressor_Pistol;Suppressor_Shotgun;Suppressor_Socom_Pistol;Suppressor_NorthStar_Pistol;Suppressor_MK3_Pistol;GhostRing;Sight_Fiber_Shotgun;Sight_MicroDot;Sight_RaceDot;Sight_SRS;Sight_MRO;Sight_SRO;Sight_EOTech;Sight_XPS;Sight_Aimpoint;Sight_Aimpoint_Dot;Sight_ACRO;Sight_Mepro_M21;Sight_Mepro_MOR;Sight_UH1;Sight_Nikon;Sight_1P87;Sight_1P63;Sight_KOBRA;Sight_OKP7_Reflex;Sight_Phantom_XL;Sight_PKAS;Sight_LUX;Sight_3xEOTech;Sight_Raven;Sight_C79;Sight_NO32;Sight_PU;Sight_4xACOG;Sight_4xACOG_ECO;Sight_SUSAT;Sight_L2;Sight_Brownells;Scope_4xPSO;Sight_M8;Scope_1;Scope_Trijicon_1;Scope_TANGO6T_1;Sight_6xELCAN;Sight_6xHensoldt;Sight_Malcom;Scope_12xPSO;Sight_VX3;Scope_20x;Sight_G28_Scope;Scope_ATACR7_F1;Scope_ATACR7_F1r;Sight_Thermal;Sight_Thermal_AK;Sight_PVS4;Sight_Armasight_NV;Sight_Burris_NV;Pad;Carrier_12g;Light_Medium_SureFire_M952V;Suppressor_SOCOM_Pistol;Sight_ATACR7_F1_Scope,ARSENAL-26-GunFighter: 45LC_410.txt
Landor Arms TXS-804 (410g),Rifle,Shotgun,410gShotgunShells,,5,1.2,1.6,73,40,2,3,,2,0.05,25,30,64,0.61,10,3.2,11,2,70,56,0.8,8,TXS_804_410g,Ammobelt;Sling_1;Sling_2;Sling_3;ForeGrip;Grip_Magpul;Grip_MLOK;Grip_TG;Grip_BCM;Grip_Fold;Light_Small;Light_Large;Light_Medium_M952V;Laser_Green;Laser_Red;Laser_DVAL;Laser_PEQ15;Laser_Green_ON;Laser_Red_ON;Laser_DVAL_ON;Laser_PEQ15_ON;Light_Small_TLR_7AH;Light_Medium_M900;Suppressor_Pistol;Suppressor_Shotgun;Suppressor_Socom_Pistol;Suppressor_NorthStar_Pistol;Suppressor_MK3_Pistol;GhostRing;Sight_Fiber_Shotgun;Sight_MicroDot;Sight_RaceDot;Sight_SRS;Sight_MRO;Sight_SRO;Sight_EOTech;Sight_XPS;Sight_Aimpoint;Sight_Aimpoint_Dot;Sight_ACRO;Sight_Mepro_M21;Sight_Mepro_MOR;Sight_UH1;Sight_Nikon;Sight_1P87;Sight_1P63;Sight_KOBRA;Sight_OKP7_Reflex;Sight_Phantom_XL;Sight_PKAS;Sight_LUX;Sight_3xEOTech;Sight_Raven;Sight_C79;Sight_NO32;Sight_PU;Sight_4xACOG;Sight_4xACOG_ECO;Sight_SUSAT;Sight_L2;Sight_Brownells;Scope_4xPSO;Sight_M8;Scope_1;Scope_Trijicon_1;Scope_TANGO6T_1;Sight_6xELCAN;Sight_6xHensoldt;Sight_Malcom;Scope_12xPSO;Sight_VX3;Scope_20x;Sight_G28_Scope;Scope_ATACR7_F1;Scope_ATACR7_F1r;Sight_Thermal;Sight_Thermal_AK;Sight_PVS4;Sight_Armasight_NV;Sight_Burris_NV;Pad;Carrier_12g;Light_Medium_SureFire_M952V;Suppressor_SOCOM_Pistol;Sight_ATACR7_F1_Scope,ARSENAL-26-GunFighter: 45LC_410.txt
Viper G2 (410g),Rifle,Shotgun,410gShotgunShells,,5,1.2,1.6,71,40,2,3,,2,0.07,24,25,64,0.61,12,2.8,11,2,70,56,0.8,8,VIPER_G2,Ammobelt;Sling_1;Sling_2;Sling_3;ForeGrip;Grip_Magpul;Grip_MLOK;Grip_TG;Grip_BCM;Grip_Fold;Light_Small;Light_Large;Light_Medium_M952V;Laser_Green;Laser_Red;Laser_DVAL;Laser_PEQ15;Laser_Green_ON;Laser_Red_ON;Laser_DVAL_ON;Laser_PEQ15_ON;Light_Small_TLR_7AH;Light_Medium_M900;Suppressor_Shotgun;Choke_Full;GhostRing;Sight_Fiber_Shotgun;Sight_MicroDot;Sight_RaceDot;Sight_SRS;Sight_MRO;Sight_SRO;Sight_EOTech;Sight_XPS;Sight_Aimpoint;Sight_Aimpoint_Dot;Sight_ACRO;Sight_Mepro_M21;Sight_Mepro_MOR;Sight_UH1;Sight_Nikon;Sight_1P87;Sight_1P63;Sight_KOBRA;Sight_OKP7_Reflex;Sight_Phantom_XL;Sight_PKAS;Sight_LUX;Sight_3xEOTech;Sight_Raven;Sight_C79;Sight_NO32;Sight_PU;Sight_4xACOG;Sight_4xACOG_ECO;Sight_SUSAT;Sight_L2;Sight_Brownells;Scope_4xPSO;Sight_M8;Scope_1;Scope_Trijicon_1;Scope_TANGO6T_1;Sight_6xELCAN;Sight_6xHensoldt;Sight_Malcom;Scope_12xPSO;Sight_VX3;Scope_20x;Sight_G28_Scope;Scope_ATACR7_F1;Scope_ATACR7_F1r;Sight_Thermal;Sight_Thermal_AK;Sight_PVS4;Sight_Armasight_NV;Sight_Burris_NV;Pad;Carrier_12g;Light_Medium_SureFire_M952V;Sight_ATACR7_F1_Scope,ARSENAL-26-GunFighter: 45LC_410.txt
